year,region,crop,yield_kg_ha,area_ha,production_tonnes,price_usd_kg
2003,Upper East,Maize,878.9,45843,40294,0.195
2004,Upper East,Maize,2068.6,49281,101943,0.284
2005,Upper East,Maize,1753.4,45339,79499,0.221
2006,Upper East,Maize,1838.5,50261,92406,0.292
2007,Upper East,Maize,1842.4,46734,86102,0.283
2008,Upper East,Maize,1389.4,45999,63911,0.232
2009,Upper East,Maize,1527.7,47666,72817,0.249
2010,Upper East,Maize,1697.1,49771,84467,0.25
2011,Upper East,Maize,1603.2,48316,77460,0.196
2012,Upper East,Maize,1332.5,50515,67311,0.24
2013,Upper East,Maize,1374.3,46692,64169,0.266
2014,Upper East,Maize,1458.6,52903,77164,0.317
2015,Upper East,Maize,1682.1,52197,87802,0.218
2016,Upper East,Maize,1860.1,49837,92701,0.236
2017,Upper East,Maize,2150.5,51299,110317,0.279
2018,Upper East,Maize,1619.3,54466,88198,0.222
2019,Upper East,Maize,2155.5,52516,113201,0.309
2020,Upper East,Maize,2583.9,50213,129745,0.247
2021,Upper East,Maize,1622.8,51757,83993,0.258
2022,Upper East,Maize,2248.6,52114,117185,0.238
2000,Upper East,Yam,12075.6,21654,261496,0.125
2001,Upper East,Yam,12828.6,22314,286260,0.135
2002,Upper East,Yam,11778.2,21624,254702,0.111
2003,Upper East,Yam,15550.2,24697,384049,0.116
2004,Upper East,Yam,10524.7,22670,238602,0.128
2005,Upper East,Yam,14262.5,23554,335943,0.117
2006,Upper East,Yam,11462.7,20054,229874,0.129
2007,Upper East,Yam,15486.2,24469,378946,0.117
2008,Upper East,Yam,11246.6,23217,261112,0.106
2009,Upper East,Yam,9548.1,22182,211802,0.11
2010,Upper East,Yam,10589.1,23530,249161,0.13
2011,Upper East,Yam,13837.7,23559,326007,0.111
2012,Upper East,Yam,14929.8,23921,357143,0.125
2013,Upper East,Yam,17903.8,22687,406192,0.12
2014,Upper East,Yam,13959.7,23391,326537,0.109
2015,Upper East,Yam,12214.3,23654,288929,0.129
2016,Upper East,Yam,15873.2,23019,365399,0.129
2017,Upper East,Yam,18424.2,23706,436770,0.11
2018,Upper East,Yam,14820.3,23131,342820,0.132
2019,Upper East,Yam,15926.2,22713,361738,0.118
2020,Upper East,Yam,15026.0,24421,366962,0.14
2021,Upper East,Yam,14856.0,24294,360924,0.134
2022,Upper East,Yam,19485.1,25487,496617,0.123
2000,Upper West,Maize,1403.2,35765,50187,0.265
2001,Upper West,Maize,1314.2,35363,46475,0.228
2002,Upper West,Maize,2016.6,34472,69516,0.238
2003,Upper West,Maize,1478.3,35644,52693,0.279
2004,Upper West,Maize,1592.6,36956,58856,0.224
2005,Upper West,Maize,1780.5,34882,62106,0.272
2006,Upper West,Maize,1733.8,36517,63314,0.256
2007,Upper West,Maize,1790.4,37386,66936,0.248
2008,Upper West,Maize,2537.4,38497,97685,0.278
2009,Upper West,Maize,2215.8,35529,78726,0.256
2010,Upper West,Maize,1723.1,36975,63713,0.256
2011,Upper West,Maize,2066.6,36626,75693,0.237
2012,Upper West,Maize,2043.0,37202,76007,0.268
2013,Upper West,Maize,1525.8,37083,56581,0.208
2014,Upper West,Maize,1693.0,36916,62499,0.294
2015,Upper West,Maize,1584.8,38405,60866,0.239
2016,Upper West,Maize,2293.6,38845,89095,0.218
2017,Upper West,Maize,1729.4,37492,64839,0.288
2018,Upper West,Maize,2402.2,36585,87884,0.299
2019,Upper West,Maize,1978.7,38222,75628,0.224
2020,Upper West,Maize,1824.8,38663,70554,0.22
2021,Upper West,Maize,1737.9,37189,64633,0.243
2022,Upper West,Maize,1342.6,42343,56849,0.274
2000,Upper West,Yam,12948.8,9310,120564,0.103
2001,Upper West,Yam,13540.0,9201,124581,0.142
2002,Upper West,Yam,8862.5,9418,83469,0.115
2003,Upper West,Yam,13439.4,9605,129093,0.109
2004,Upper West,Yam,11103.3,8758,97251,0.122
2005,Upper West,Yam,11448.4,9583,109716,0.13
2006,Upper West,Yam,10977.4,9082,99705,0.119
2007,Upper West,Yam,9607.8,9177,88170,0.119
2008,Upper West,Yam,9310.9,9560,89012,0.102
2009,Upper West,Yam,13979.9,9644,134836,0.106
2010,Upper West,Yam,10699.9,9656,103327,0.127
2011,Upper West,Yam,16927.0,9186,155494,0.132
2012,Upper West,Yam,14747.1,9828,144936,0.134
2013,Upper West,Yam,13558.9,9306,126189,0.118
2014,Upper West,Yam,6981.8,9816,68537,0.149
2015,Upper West,Yam,16368.5,10101,165346,0.111
2016,Upper West,Yam,11422.6,10399,118786,0.099
2017,Upper West,Yam,16268.0,10049,163479,0.125
2018,Upper West,Yam,13557.8,10099,136933,0.149
2019,Upper West,Yam,14575.2,10036,146282,0.121
2020,Upper West,Yam,17669.0,10029,177213,0.111
2021,Upper West,Yam,16986.4,9717,165069,0.132
2022,Upper West,Yam,13710.7,10285,141027,0.141
2000,Upper West,Rice,3166.1,60681,192125,0.483
2001,Upper West,Rice,3114.1,66020,205593,0.442
2002,Upper West,Rice,2641.6,69879,184596,0.437
2003,Upper West,Rice,2695.2,60832,163952,0.377
2004,Upper West,Rice,1822.9,60384,110072,0.504
2005,Upper West,Rice,2759.4,61437,169527,0.524
2006,Upper West,Rice,2507.9,65829,165095,0.398
2007,Upper West,Rice,3253.2,65628,213503,0.367
2008,Upper West,Rice,3883.4,70563,274025,0.456
2009,Upper West,Rice,3560.1,66008,234997,0.526
2010,Upper West,Rice,2893.7,63362,183351,0.449
2011,Upper West,Rice,2752.0,64767,178239,0.43
2012,Upper West,Rice,3613.4,61054,220615,0.461
2013,Upper West,Rice,2516.4,70475,177340,0.506
2014,Upper West,Rice,3393.8,63803,216535,0.467
2015,Upper West,Rice,3626.3,62130,225300,0.41
2016,Upper West,Rice,2922.9,70722,206714,0.388
2017,Upper West,Rice,2879.7,72202,207918,0.393
2018,Upper West,Rice,2504.2,68438,171384,0.475
2019,Upper West,Rice,4171.2,65549,273421,0.418
2020,Upper West,Rice,3464.1,68142,236048,0.478
2021,Upper West,Rice,3316.6,70852,234991,0.364
2022,Upper West,Rice,3578.6,69921,250219,0.464
2000,Volta,Cassava,18150.4,65071,1181068,0.053
2001,Volta,Cassava,18442.4,68019,1254441,0.05
2002,Volta,Cassava,18216.0,67312,1226166,0.055
2003,Volta,Cassava,16555.5,63128,1045122,0.043
2004,Volta,Cassava,15432.6,68905,1063385,0.053
2005,Volta,Cassava,19235.2,60920,1171815,0.05
2006,Volta,Cassava,20106.6,69744,1402324,0.048
2007,Volta,Cassava,16907.0,67687,1144398,0.053
2008,Volta,Cassava,20856.3,69681,1453308,0.053
2009,Volta,Cassava,19442.9,73271,1424615,0.05
2010,Volta,Cassava,18542.4,67449,1250687,0.037
2011,Volta,Cassava,22069.9,66227,1461638,0.044
2012,Volta,Cassava,20093.3,71102,1428688,0.054
2013,Volta,Cassava,16281.3,69995,1139618,0.046
2014,Volta,Cassava,17794.1,66593,1184971,0.041
2015,Volta,Cassava,21599.4,68671,1483263,0.049
2016,Volta,Cassava,17924.3,66319,1188722,0.043
2017,Volta,Cassava,23721.3,72542,1720795,0.049
2018,Volta,Cassava,22536.9,75249,1695887,0.048
2019,Volta,Cassava,16929.7,71007,1202137,0.047
2020,Volta,Cassava,22070.3,71979,1588608,0.05
2021,Volta,Cassava,20003.1,76403,1528304,0.046
2022,Volta,Cassava,16575.0,70325,1165640,0.041
2000,Volta,Yam,12321.9,29854,367862,0.106
2001,Volta,Yam,13492.4,31643,426942,0.119
2002,Volta,Yam,14594.1,33382,487182,0.139
2003,Volta,Yam,15811.8,32719,517347,0.097
2004,Volta,Yam,16083.7,32879,528817,0.124
2005,Volta,Yam,12059.7,32115,387302,0.144
2006,Volta,Yam,15371.7,31642,486402,0.119
2007,Volta,Yam,13857.3,30069,416676,0.118
2008,Volta,Yam,14694.0,32937,483978,0.105
2009,Volta,Yam,10737.5,32217,345934,0.125
2010,Volta,Yam,15530.5,32005,497063,0.097
2011,Volta,Yam,14756.1,32594,480968,0.143
2012,Volta,Yam,18094.6,32233,583251,0.124
2013,Volta,Yam,16632.7,33716,560793,0.11
2014,Volta,Yam,14529.3,33083,480683,0.11
2015,Volta,Yam,18228.1,34558,629931,0.126
2016,Volta,Yam,15913.3,33571,534229,0.131
2017,Volta,Yam,19199.4,34476,661936,0.122
2018,Volta,Yam,20039.1,34634,694039,0.117
2019,Volta,Yam,13269.6,34295,455085,0.132
2020,Volta,Yam,15826.3,33810,535098,0.141
2021,Volta,Yam,18064.1,32990,595947,0.097
2022,Volta,Yam,13012.2,33725,438842,0.132
2000,Volta,Maize,1855.9,53286,98893,0.25
2001,Volta,Maize,1381.8,58589,80960,0.239
2002,Volta,Maize,1437.4,60173,86493,0.242
2003,Volta,Maize,1819.4,59837,108867,0.219
2004,Volta,Maize,1893.8,61108,115727,0.24
2005,Volta,Maize,1725.1,59391,102456,0.2
2006,Volta,Maize,1467.2,56397,82746,0.264
2007,Volta,Maize,2139.9,57094,122179,0.209
2008,Volta,Maize,1875.5,58062,108895,0.255
2009,Volta,Maize,2980.8,61280,182664,0.275
2010,Volta,Maize,1999.1,62005,123954,0.312
2011,Volta,Maize,1712.2,58612,100356,0.266
2012,Volta,Maize,1845.0,60500,111625,0.279
2013,Volta,Maize,2347.4,60821,142773,0.263
2014,Volta,Maize,2039.4,61047,124497,0.323
2015,Volta,Maize,2287.7,61710,141178,0.232
2016,Volta,Maize,2499.7,67158,167873,0.202
2017,Volta,Maize,1530.5,65132,99681,0.282
2018,Volta,Maize,1382.9,62921,87011,0.26
2019,Volta,Maize,2472.6,63783,157709,0.222
2020,Volta,Maize,1991.8,62548,124581,0.22
2021,Volta,Maize,2461.2,63474,156223,0.255
2022,Volta,Maize,2151.3,63952,137582,0.329
2000,Western,Cocoa,335.5,79263,26590,3.391
2001,Western,Cocoa,429.3,79836,34275,2.099
2002,Western,Cocoa,401.1,75031,30093,2.732
2003,Western,Cocoa,408.3,82768,33790,2.738
2004,Western,Cocoa,376.9,79817,30080,2.819
2005,Western,Cocoa,426.5,83292,35525,2.967
2006,Western,Cocoa,452.3,78833,35659,2.871
2007,Western,Cocoa,430.8,85347,36764,2.438
2008,Western,Cocoa,410.6,79561,32666,2.738
2009,Western,Cocoa,574.5,81024,46548,3.233
2010,Western,Cocoa,533.2,84345,44974,2.418
2011,Western,Cocoa,485.0,87438,42410,3.269
2012,Western,Cocoa,490.7,83349,40899,3.274
2013,Western,Cocoa,553.5,88263,48854,2.558
2014,Western,Cocoa,522.3,84800,44289,2.956
2015,Western,Cocoa,501.2,88782,44497,3.063
2016,Western,Cocoa,510.0,81417,41523,2.934
2017,Western,Cocoa,433.4,87972,38122,2.588
2018,Western,Cocoa,441.7,84276,37222,2.328
2019,Western,Cocoa,395.8,85927,34011,2.875
2020,Western,Cocoa,483.4,87823,42450,3.146
2021,Western,Cocoa,565.2,83169,47003,2.833
2022,Western,Cocoa,514.0,83320,42828,2.499
2000,Western,Plantain,10837.1,27776,301020,0.088
2001,Western,Plantain,8452.3,30368,256681,0.087
2002,Western,Plantain,11060.7,29044,321251,0.07
2003,Western,Plantain,8121.7,29433,239051,0.085
2004,Western,Plantain,10913.3,29661,323707,0.087
2005,Western,Plantain,10097.7,30906,312086,0.077
2006,Western,Plantain,10160.0,30636,311271,0.085
2007,Western,Plantain,9212.4,31777,292744,0.072
2008,Western,Plantain,9611.9,30272,290972,0.08
2009,Western,Plantain,11000.3,28576,314348,0.086
2010,Western,Plantain,12318.6,32414,399305,0.084
2011,Western,Plantain,13167.1,32136,423140,0.083
2012,Western,Plantain,11949.3,31174,372519,0.077
2013,Western,Plantain,13953.9,29702,414461,0.075
2014,Western,Plantain,12500.2,28972,362159,0.086
2015,Western,Plantain,13350.8,31509,420679,0.074
2016,Western,Plantain,10682.1,33475,357592,0.099
2017,Western,Plantain,12269.7,30339,372257,0.088
2018,Western,Plantain,14437.0,34008,490985,0.085
2019,Western,Plantain,11466.5,33294,381775,0.085
2020,Western,Plantain,15135.3,33325,504396,0.084
2021,Western,Plantain,12729.1,31316,398635,0.109
2022,Western,Plantain,13439.3,31263,420155,0.084
2000,Western,Cassava,16657.0,71951,1198496,0.049
2001,Western,Cassava,15919.4,73246,1166044,0.056
2002,Western,Cassava,17533.9,70734,1240256,0.054
2003,Western,Cassava,16862.8,75038,1265360,0.045
2004,Western,Cassava,19787.2,75526,1494451,0.055
2005,Western,Cassava,19491.8,74798,1457952,0.049
2006,Western,Cassava,17661.3,74913,1323062,0.046
2007,Western,Cassava,17483.9,73816,1290599,0.04
2008,Western,Cassava,18621.0,75498,1405859,0.049
2009,Western,Cassava,13892.9,75259,1045568,0.046
2010,Western,Cassava,21739.8,75554,1642540,0.048
2011,Western,Cassava,22675.6,74010,1678238,0.048
2012,Western,Cassava,20540.6,77624,1594445,0.045
2013,Western,Cassava,23022.3,78910,1816704,0.051
2014,Western,Cassava,17741.5,79475,1410013,0.044
2015,Western,Cassava,18622.3,78743,1466393,0.039
2016,Western,Cassava,19092.4,78840,1505252,0.046
2017,Western,Cassava,21939.0,84362,1850826,0.057
2018,Western,Cassava,21725.3,81070,1761288,0.038
2019,Western,Cassava,17899.5,78817,1410801,0.06
2020,Western,Cassava,21167.5,84305,1784547,0.05
2021,Western,Cassava,21063.5,84108,1771607,0.047
2022,Western,Cassava,17003.7,80668,1371662,0.048
